primary_place_of_performance_state_code,total_obligated_amount,fiscal_year
KS,4123319863.02,2018
NE,3764814021.92,2018
PR,3142823857.43,2018
OR,3132865081.07,2018
RI,2902020617.4900002,2018
AR,2864692109.69,2018
WI,1743863054.21,2018
IA,1708025621.0,2018
NH,1008435633.31,2018
ND,637074440.74,2018
DE,530904611.19,2018
MT,524226585.18,2018
ID,490156963.12,2018
WY,410905613.71999997,2018
WV,409922719.51,2018
VT,277950829.66,2018
SD,264031880.53,2018
MH,253760041.35999998,2018
VI,167844562.06,2018
PW,88356526.76,2018
MP,69159265.57,2018
FM,6988093.87,2018
AS,4643979.27,2018
